speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,waitForDetOffset,waitForNounOffset,waitForEnd,trigDet,trigOffsetNoun,trialIndex
Nat,32,related,Nat_32_related,1,Was er genoeg licht om te lezen in de kamer?,1.0,experiment,3.87,2.916,3.056,3.303,0.14,0.247,0.567,11,119,1
Nat,64,unrelated,Nat_64_unrelated,0,,,experiment,3.597,2.577,2.761,3.003,0.184,0.242,0.594,12,129,2
Nat,95,related,Nat_95_related,0,,,experiment,5.141,3.704,3.798,4.217,0.094,0.419,0.924,11,119,3
nonNat,108,related,nonNat_108_related,0,,,experiment,6.174,3.79,4.004,4.262,0.214,0.258,1.912,21,219,4
Nat,320,control,Nat_320_control,0,,,experiment,3.843,1.427,1.527,2.055,0.1,0.528,1.788,55,155,5
Nat,89,unrelated,Nat_89_unrelated,1,Heeft deze zin iets te maken met hengelsport?,0.0,experiment,4.8,2.987,3.134,3.607,0.147,0.473,1.193,12,129,6
Nat,335,control,Nat_335_control,0,,,experiment,7.416,6.297,6.773,7.405,0.476,0.632,0.011,55,155,7
nonNat,44,related,nonNat_44_related,1,Laat de juwelier de sieraden 's nachts in de etalage liggen?,1.0,experiment,4.288,2.858,3.034,3.397,0.176,0.363,0.891,21,219,8
Nat,334,control,Nat_334_control,0,,,experiment,5.808,3.465,3.925,4.313,0.46,0.388,1.495,55,155,9
Nat,323,control,Nat_323_control,0,,,experiment,4.48,1.159,1.305,1.595,0.146,0.29,2.885,55,155,10
Nat,6,unrelated,Nat_6_unrelated,1,Gaat de spreker in de zomer graag zwemmen?,1.0,experiment,4.824,3.175,3.304,3.836,0.129,0.532,0.988,12,129,11
nonNat,79,unrelated,nonNat_79_unrelated,0,,,experiment,5.387,4.508,4.711,4.894,0.203,0.183,0.493,22,229,12
nonNat,312,control,nonNat_312_control,0,,,experiment,6.424,2.775,2.973,3.517,0.198,0.544,2.907,55,155,13
Nat,310,control,Nat_310_control,0,,,experiment,5.408,4.402,4.654,5.395,0.252,0.741,0.013,55,155,14
nonNat,5,related,nonNat_5_related,0,,,experiment,4.7,3.316,3.412,3.761,0.096,0.349,0.939,21,219,15
nonNat,114,unrelated,nonNat_114_unrelated,1,Had Hendrik een bioscoopbon gekregen voor zijn verjaardag?,0.0,experiment,7.356,5.896,6.004,6.589,0.108,0.585,0.767,22,229,16
nonNat,101,related,nonNat_101_related,0,,,experiment,4.38,2.618,2.72,3.145,0.102,0.425,1.235,21,219,17
nonNat,8,related,nonNat_8_related,0,,,experiment,4.638,2.846,2.986,3.402,0.14,0.416,1.236,21,219,18
nonNat,343,control,nonNat_343_control,0,,,experiment,5.262,3.678,3.938,4.267,0.26,0.329,0.995,55,155,19
nonNat,359,control,nonNat_359_control,0,,,experiment,5.456,4.874,5.0,5.402,0.126,0.402,0.054,55,155,20
Nat,161,unrelated,Nat_161_unrelated,1,Leest de vader van de spreker graag de krant op zaterdag?,0.0,experiment,3.36,2.012,2.144,2.6,0.132,0.456,0.76,12,129,21
nonNat,66,related,nonNat_66_related,0,,,experiment,4.629,1.923,2.068,2.654,0.145,0.586,1.975,21,219,22
Nat,98,related,Nat_98_related,0,,,experiment,3.31,2.217,2.389,2.674,0.172,0.285,0.636,11,119,23
nonNat,160,related,nonNat_160_related,1,Verspreidt de koude lucht zich vanuit Rusland?,0.0,experiment,5.048,4.103,4.223,4.485,0.12,0.262,0.563,21,219,24
nonNat,40,unrelated,nonNat_40_unrelated,1,Zetten ze altijd een zwembad op als het warm is?,1.0,experiment,4.654,3.217,3.421,3.731,0.204,0.31,0.923,22,229,25
Nat,54,unrelated,Nat_54_unrelated,0,,,experiment,3.88,2.068,2.247,2.708,0.179,0.461,1.172,12,129,26
Nat,321,control,Nat_321_control,0,,,experiment,4.136,0.587,0.778,1.245,0.191,0.467,2.891,55,155,27
nonNat,29,unrelated,nonNat_29_unrelated,1,Staan de boeken die de spreker gelezen heeft op de bovenste plank in de kast?,1.0,experiment,3.992,2.668,2.837,3.186,0.169,0.349,0.806,22,229,28
Nat,97,unrelated,Nat_97_unrelated,0,,,experiment,3.592,2.887,3.017,3.318,0.13,0.301,0.274,12,129,29
nonNat,338,control,nonNat_338_control,0,,,experiment,4.686,0.33,0.445,0.792,0.115,0.347,3.894,55,155,30
Nat,46,related,Nat_46_related,0,,,experiment,4.315,3.299,3.394,3.85,0.095,0.456,0.465,11,119,31
nonNat,352,control,nonNat_352_control,0,,,experiment,5.796,1.455,1.959,3.109,0.504,1.15,2.687,55,155,32
nonNat,147,related,nonNat_147_related,0,,,experiment,5.836,3.141,3.286,3.776,0.145,0.49,2.06,21,219,33
Nat,353,control,Nat_353_control,0,,,experiment,4.808,2.997,3.262,3.543,0.265,0.281,1.265,55,155,34
Nat,324,control,Nat_324_control,0,,,experiment,6.08,2.747,2.823,3.468,0.076,0.645,2.612,55,155,35
nonNat,148,related,nonNat_148_related,1,Is het goed om geld op de bank te zetten?,0.0,experiment,4.856,4.154,4.322,4.508,0.168,0.186,0.348,21,219,36
