sentID,fullSent,condition
300,Morgen ga ik met het vliegtuig naar Londen voor een conferentie.,control
301,"Op woensdag gaat hij altijd met de fiets naar zijn werk, omdat hij dan pas om 10 uur hoeft te beginnen.",control
302,"Veel leraren zullen blij zijn als het straks eindelijk vakantie is, want dan kunnen ze rustig alle toetsen nakijken.",control
303,Op de universiteit lopen veel studenten rond die nog niet precies weten wat ze na hun studie willen doen.,control
304,Piet vond de geschiedenis van Afrika een van de leukste vakken die hij tijdens zijn studie heeft gevolgd.,control
305,Voor het ontbijt eet mijn moeder altijd een boterham met kaas en een beschuit met hagelslag.,control
306,"De boeken die in de kast staan heeft Marie allemaal al eens gelezen, die op haar nachtkastje nog niet.",control
307,"Gisteren is een collega van Jan de sloot in gereden, maar gelukkig kon hij net op tijd uit het raam klimmen.",control
308,"Als de telefoon gaat, hoef je niet op te nemen, want dat doet de receptioniste altijd in dit bedrijf.",control
309,Kinderen vinden het nooit leuk als je zegt dat ze naar bed moeten; ze verzinnen altijd een smoesje om langer op te mogen blijven.,control
310,De Efteling was vroeger het enige grote attractiepark in Nederland; nu zijn er ook veel andere pretparken.,control
311,In februari vieren mensen in het zuiden van het land Carnaval; in het noorden gaan veel mensen in die tijd op skivakantie.,control
312,"Zwitserland is tegenwoordig een van de duurste landen in Europa om op vakantie te gaan, omdat ze erg rijk zijn.",control
313,"Japan gaat een strategische uitkijkpost bouwen op een atol in de Grote Oceaan, om China beter in de gaten te houden.",control
314,De leerlingen uit 4 havo vonden dat ze veel teveel huiswerk hadden gekregen voor Geschiedenis; ze hadden geen tijd meer voor andere vakken.,control
330,"Het meest favoriete speelgoed van kinderen in de jaren '90 was lego, maar tegenwoordig spelen ze liever met een iPad.",control
331,Maartje heeft van haar oma geleerd hoe ze moet breien; nu kan ze zelf ook mooie sjaals maken.,control
332,Sinds de invoering van het rookverbod in restaurants vinden veel mensen het een stuk prettiger om langer te dineren.,control
333,De Ierse bevolking gaat volgende maand naar de stembus om een nieuw parlement te kiezen.,control
334,Amazon is er medeverantwoordelijk voor dat vele boekenwinkels de voorbije jaren de deuren moesten sluiten.,control
335,"Vanwege de vluchtelingenstroom hebben diverse EU-landen grenscontroles ingesteld, maar dit gaat ten koste van de lokale economie.",control
336,Ecotoerisme is populair in Costa Rica. Maar de grote aantallen toeristen vormen een bedreiging voor het kleine land.,control
337,"Je moet wel even geduld hebben met deze film, want de personages beginnen pas met hun handen en voeten te knokken als de kogels op zijn.",control
338,"Als je de griep eenmaal hebt, is het zo leuk nog niet om de hele dag tv te kijken.",control
339,Hotels besteden steeds vaker het eten uit aan mensen die daar echt verstand van hebben.,control
340,We eten echt wel iets lekkers: frisse salade van dunne velletjes rauwe pompoen met citroensap en rode peper.,control
