Question,compLower,filename,hasQuestion,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex
Was er genoeg licht om te lezen in de kamer?,het licht,Nat_32_related,1,3.303,2.916,3.056,experiment,related,32,Nat,3.87,11,119,de lamp,0.14,0.567,0.247,1.0,1
,de vergadering,Nat_64_unrelated,0,3.003,2.577,2.761,experiment,unrelated,64,Nat,3.597,12,129,het werk,0.184,0.594,0.242,,2
,de balk,Nat_95_related,0,4.217,3.704,3.798,experiment,related,95,Nat,5.141,11,119,het hout,0.094,0.924,0.419,,3
,de pan,nonNat_108_related,0,4.262,3.79,4.004,experiment,related,108,nonNat,6.174,21,219,het vuur,0.214,1.912,0.258,,4
,,Nat_320_control,0,2.055,1.427,1.527,experiment,control,320,Nat,3.843,55,155,,0.1,1.788,0.528,,5
Heeft deze zin iets te maken met hengelsport?,het net,Nat_89_unrelated,1,3.607,2.987,3.134,experiment,unrelated,89,Nat,4.8,12,129,de sloot,0.147,1.193,0.473,0.0,6
,,Nat_335_control,0,7.405,6.297,6.773,experiment,control,335,Nat,7.416,55,155,,0.476,0.011,0.632,,7
Laat de juwelier de sieraden 's nachts in de etalage liggen?,de kluis,nonNat_44_related,1,3.397,2.858,3.034,experiment,related,44,nonNat,4.288,21,219,het doosje,0.176,0.891,0.363,1.0,8
,,Nat_334_control,0,4.313,3.465,3.925,experiment,control,334,Nat,5.808,55,155,,0.46,1.495,0.388,,9
,,Nat_323_control,0,1.595,1.159,1.305,experiment,control,323,Nat,4.48,55,155,,0.146,2.885,0.29,,10
Gaat de spreker in de zomer graag zwemmen?,het zwembad,Nat_6_unrelated,1,3.836,3.175,3.304,experiment,unrelated,6,Nat,4.824,12,129,de badkuip,0.129,0.988,0.532,1.0,11
,de wolf,nonNat_79_unrelated,0,4.894,4.508,4.711,experiment,unrelated,79,nonNat,5.387,22,229,het dier,0.203,0.493,0.183,,12
,,nonNat_312_control,0,3.517,2.775,2.973,experiment,control,312,nonNat,6.424,55,155,,0.198,2.907,0.544,,13
,,Nat_310_control,0,5.395,4.402,4.654,experiment,control,310,Nat,5.408,55,155,,0.252,0.013,0.741,,14
,de schat,nonNat_5_related,0,3.761,3.316,3.412,experiment,related,5,nonNat,4.7,21,219,het pakketje,0.096,0.939,0.349,,15
Had Hendrik een bioscoopbon gekregen voor zijn verjaardag?,de bioscoop,nonNat_114_unrelated,1,6.589,5.896,6.004,experiment,unrelated,114,nonNat,7.356,22,229,het filmhuis,0.108,0.767,0.585,0.0,16
,het lijf,nonNat_101_related,0,3.145,2.618,2.72,experiment,related,101,nonNat,4.38,21,219,de maag,0.102,1.235,0.425,,17
,de oven,nonNat_8_related,0,3.402,2.846,2.986,experiment,related,8,nonNat,4.638,21,219,het fornuis,0.14,1.236,0.416,,18
,,nonNat_343_control,0,4.267,3.678,3.938,experiment,control,343,nonNat,5.262,55,155,,0.26,0.995,0.329,,19
,,nonNat_359_control,0,5.402,4.874,5.0,experiment,control,359,nonNat,5.456,55,155,,0.126,0.054,0.402,,20
