speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,trialIndex,trigDet,trigOffsetNoun
Nat,36,related,Nat_36_related,0,,,practice,4.475,2.648,2.746,3.241,0,11,119
Nat,53,related,Nat_53_related,0,,,practice,4.543,1.978,2.152,2.8,0,11,119
nonNat,70,unrelated,nonNat_70_unrelated,1,,1.0,practice,4.082,2.64,2.839,3.062,0,22,229
nonNat,105,unrelated,nonNat_105_unrelated,0,,,practice,5.362,3.416,3.573,4.002,0,22,229
Nat,113,related,Nat_113_related,1,,0.0,practice,6.504,3.81,3.971,4.305,0,11,119
Nat,117,related,Nat_117_related,0,,,practice,4.36,3.037,3.218,3.7,0,11,119
Nat,80,related,Nat_80_related,0,,,experiment,4.048,2.953,3.05,3.29,1,11,119
nonNat,141,unrelated,nonNat_141_unrelated,0,,,experiment,4.234,2.646,2.821,3.129,2,22,229
nonNat,38,related,nonNat_38_related,1,Maakte het publiek na afloop van de voorstelling een buiging?,1.0,experiment,5.577,4.536,4.717,5.052,3,21,219
Nat,155,unrelated,Nat_155_unrelated,1,Gaat Zwarte Piet door de schoorsteen naar binnen?,0.0,experiment,6.385,3.932,4.055,4.52,4,12,129
nonNat,74,unrelated,nonNat_74_unrelated,0,,,experiment,5.445,4.115,4.342,4.668,5,22,229
Nat,145,unrelated,Nat_145_unrelated,1,Werkt de lift bij brand?,0.0,experiment,3.117,1.866,1.982,2.154,6,12,129
Nat,101,related,Nat_101_related,0,,,experiment,4.333,2.649,2.78,3.117,7,11,119
nonNat,50,related,nonNat_50_related,1,Had het sprookje een goed einde?,1.0,experiment,5.616,3.041,3.181,3.845,8,21,219
nonNat,98,unrelated,nonNat_98_unrelated,0,,,experiment,4.394,2.912,3.073,3.637,9,22,229
nonNat,39,related,nonNat_39_related,1,Draait de nieuwe film van die acteur al?,1.0,experiment,3.12,1.918,2.094,2.569,10,21,219
nonNat,95,unrelated,nonNat_95_unrelated,0,,,experiment,5.587,4.09,4.276,4.738,11,22,229
Nat,75,related,Nat_75_related,1,Ging de zin over de maand januari?,1.0,experiment,3.773,1.607,1.712,2.031,12,11,119
nonNat,90,unrelated,nonNat_90_unrelated,0,,,experiment,4.886,3.919,4.101,4.574,13,22,229
Nat,9,related,Nat_9_related,1,Heeft de spreker een kerstboom met Kerst?,1.0,experiment,4.659,2.675,2.831,3.408,14,11,119
nonNat,87,unrelated,nonNat_87_unrelated,0,,,experiment,9.385,7.026,7.195,7.653,15,22,229
Nat,107,related,Nat_107_related,0,,,experiment,5.192,3.07,3.21,3.638,16,11,119
Nat,89,related,Nat_89_related,1,Heeft deze zin iets te maken met hengelsport?,0.0,experiment,4.873,2.987,3.095,3.416,17,11,119
nonNat,104,related,nonNat_104_related,1,Ging de zin over een fietstocht door de Alpen?,0.0,experiment,3.915,2.047,2.227,2.625,18,21,219
Nat,125,related,Nat_125_related,1,Lijkt Sam erg op zijn moeder?,0.0,experiment,5.236,3.981,4.161,4.458,19,11,119
Nat,57,related,Nat_57_related,0,,,experiment,3.025,1.968,2.129,2.483,20,11,119
nonNat,85,related,nonNat_85_related,1,Ging de zin over lastdieren in de bergen?,1.0,experiment,5.028,3.415,3.563,3.998,21,21,219
nonNat,111,related,nonNat_111_related,1,Heeft de werknemer zijn contract getekend voor de onderhandelingen?,0.0,experiment,5.472,3.285,3.595,4.142,22,21,219
nonNat,137,unrelated,nonNat_137_unrelated,0,,,experiment,6.126,4.914,5.033,5.441,23,22,229
Nat,150,unrelated,Nat_150_unrelated,1,Ging de zin over zuivelproducten?,0.0,experiment,4.674,2.394,2.509,3.097,24,12,129
nonNat,33,related,nonNat_33_related,1,Kijken de ouders elke avond het achtuurjournaal?,1.0,experiment,7.864,4.717,4.831,5.408,25,21,219
Nat,17,related,Nat_17_related,1,Is David een echte gentleman?,1.0,experiment,4.464,3.065,3.145,3.429,26,11,119
nonNat,120,related,nonNat_120_related,1,Had Marc genoeg tijd ingepland om te studeren voor zijn literatuurtentamen?,0.0,experiment,9.515,5.356,5.464,6.184,27,21,219
Nat,7,unrelated,Nat_7_unrelated,0,,,experiment,6.352,5.084,5.21,5.624,28,12,129
nonNat,147,unrelated,nonNat_147_unrelated,0,,,experiment,6.286,3.141,3.359,3.908,29,22,229
nonNat,58,related,nonNat_58_related,1,Heeft de spreker het over een t-Shirt van haar lievelingsband?,1.0,experiment,6.561,4.117,4.263,4.621,30,21,219
nonNat,79,unrelated,nonNat_79_unrelated,0,,,experiment,5.387,4.508,4.711,4.894,31,22,229
nonNat,121,unrelated,nonNat_121_unrelated,0,,,experiment,5.129,2.952,3.151,3.56,32,22,229
Nat,25,unrelated,Nat_25_unrelated,0,,,experiment,5.184,3.22,3.334,3.82,33,12,129
nonNat,44,related,nonNat_44_related,1,Laat de juwelier de sieraden 's nachts in de etalage liggen?,1.0,experiment,4.288,2.858,3.034,3.397,34,21,219
nonNat,77,unrelated,nonNat_77_unrelated,0,,,experiment,4.324,3.231,3.403,3.738,35,22,229
Nat,31,related,Nat_31_related,1,Hebben ze een hoop post gekregen terwijl we op vakantie waren?,1.0,experiment,3.284,2.281,2.397,2.882,36,11,119
nonNat,123,related,nonNat_123_related,1,Houdt de spreker van dieren?,0.0,experiment,5.851,3.53,3.712,4.348,37,21,219
Nat,42,related,Nat_42_related,1,Was de fiets van Martijn gestolen?,1.0,experiment,5.221,3.502,3.69,4.126,38,11,119
Nat,140,unrelated,Nat_140_unrelated,1,Waren de bejaarden geïnteresseerd in schilderijen van Monet?,0.0,experiment,5.433,3.663,3.794,4.276,39,12,129
nonNat,157,unrelated,nonNat_157_unrelated,0,,,experiment,5.647,4.098,4.306,4.799,40,22,229
Nat,24,related,Nat_24_related,1,Nemen ze een paraplu mee als het mooi weer is?,1.0,experiment,4.136,2.557,2.687,3.143,41,11,119
