Question,compLower,filename,hasQuestion,newWord1,newWord2,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex
,,nonNat_330_control,0,speelgoed,lego,7.41,6.629,6.774,experiment,control,330,nonNat,7.541,55,155,,0.145,0.131,0.636,,1
Werkt de lift bij brand?,de lift,nonNat_145_unrelated,1,,,2.852,2.44,2.588,experiment,unrelated,145,nonNat,3.804,22,229,het dak,0.148,0.952,0.264,0.0,2
Staan de boeken die de spreker gelezen heeft op de bovenste plank in de kast?,de kast,nonNat_29_unrelated,1,,,3.186,2.668,2.837,experiment,unrelated,29,nonNat,3.992,22,229,het bureau,0.169,0.806,0.349,1.0,3
Werd de gladheid aangekondigd op de tv?,de wind,nonNat_100_related,1,,,6.041,5.457,5.601,experiment,related,100,nonNat,7.446,21,219,het gezicht,0.144,1.405,0.44,0.0,4
Draait de nieuwe film van die acteur al?,de bioscoop,Nat_39_related,1,,,2.431,1.791,1.95,experiment,related,39,Nat,2.98,11,119,het theater,0.159,0.549,0.481,1.0,5
,,nonNat_338_control,0,tv,kijken,0.792,0.33,0.445,experiment,control,338,nonNat,4.686,55,155,,0.115,3.894,0.347,,6
Wilden ze zijn afstuderen vieren met champagne?,de champagne,Nat_126_related,1,,,5.031,4.255,4.385,experiment,related,126,Nat,6.875,11,119,het feest,0.13,1.844,0.646,0.0,7
Gaat deze uitdrukking over koeien?,de sloot,Nat_88_unrelated,1,,,3.017,2.583,2.722,experiment,unrelated,88,Nat,3.552,12,129,het meer,0.139,0.535,0.295,0.0,8
,,Nat_307_control,0,collega,raam,1.941,1.561,1.613,experiment,control,307,Nat,5.2,55,155,,0.052,3.259,0.328,,9
,de lucht,nonNat_80_related,0,,,3.906,3.549,3.66,experiment,related,80,nonNat,4.779,21,219,het water,0.111,0.873,0.246,,10
,het internet,Nat_59_related,0,,,5.853,5.245,5.364,experiment,related,59,Nat,7.181,11,119,de websites,0.119,1.328,0.489,,11
,de meterkast,nonNat_116_related,0,,,4.963,4.202,4.315,experiment,related,116,nonNat,5.532,21,219,het kabinet,0.113,0.569,0.648,,12
Kwam de trein op tijd aan in Utrecht?,het station,Nat_136_related,1,,,3.03,2.415,2.52,experiment,related,136,Nat,3.76,11,119,de noordzijde,0.105,0.73,0.51,0.0,13
,het vak,Nat_142_unrelated,0,,,4.922,3.907,4.048,experiment,unrelated,142,Nat,7.731,12,129,de lesomgeving,0.141,2.809,0.874,,14
,de hoek,nonNat_84_unrelated,0,,,7.371,6.526,6.746,experiment,unrelated,84,nonNat,8.61,22,229,het kamertje,0.22,1.239,0.625,,15
,,nonNat_339_control,0,mensen,verstand,2.66,2.062,2.259,experiment,control,339,nonNat,5.492,55,155,,0.197,2.832,0.401,,16
Heeft Michael een nieuwe afstandsbediening gekocht voor zijn tv?,het geluid,nonNat_69_unrelated,1,,,3.823,3.339,3.422,experiment,unrelated,69,nonNat,4.916,22,229,de muziek,0.083,1.093,0.401,1.0,17
,de pan,Nat_108_related,0,,,4.256,3.809,4.024,experiment,related,108,Nat,5.8,11,119,het vuur,0.215,1.544,0.232,,18
,de post,nonNat_11_related,0,,,5.193,4.754,4.932,experiment,related,11,nonNat,6.148,21,219,het postbedrijf,0.178,0.955,0.261,,19
Maken kinderen sneeuwengelen in de winter?,de sneeuw,Nat_30_related,1,,,1.991,1.622,1.679,experiment,related,30,Nat,3.074,11,119,het ijs,0.057,1.083,0.312,1.0,20
,,Nat_300_control,0,conferentie,Londen,1.205,0.66,0.783,experiment,control,300,Nat,2.657,55,155,,0.123,1.452,0.422,,21
Was er genoeg licht om te lezen in de kamer?,het licht,Nat_32_related,1,,,3.303,2.916,3.056,experiment,related,32,Nat,3.87,11,119,de lamp,0.14,0.567,0.247,1.0,22
Ging de zin over een fietstocht door de Alpen?,de berg,nonNat_104_unrelated,1,,,2.586,2.047,2.224,experiment,unrelated,104,nonNat,3.866,22,229,het pad,0.177,1.28,0.362,0.0,23
,,nonNat_348_control,0,aanwijzingen,gelukkiger,2.715,1.777,2.02,experiment,control,348,nonNat,5.731,55,155,,0.243,3.016,0.695,,24
,,Nat_301_control,0,werk,woensdag,1.67,1.249,1.369,experiment,control,301,Nat,4.195,55,155,,0.12,2.525,0.301,,25
,,nonNat_336_control,0,toeristen,land,3.857,2.888,3.308,experiment,control,336,nonNat,6.872,55,155,,0.42,3.015,0.549,,26
,,Nat_308_control,0,telefoon,bedrijf,3.52,2.694,2.824,experiment,control,308,Nat,4.603,55,155,,0.13,1.083,0.696,,27
