Question,compLower,filename,hasQuestion,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex
Was er genoeg licht om te lezen in de kamer?,het licht,Nat_32_related,1,3.303,2.916,3.056,experiment,related,32,Nat,3.87,11,119,de lamp,0.14,0.567,0.247,1.0,1
,de vergadering,Nat_64_unrelated,0,3.003,2.577,2.761,experiment,unrelated,64,Nat,3.597,12,129,het werk,0.184,0.594,0.242,,2
,de balk,Nat_95_related,0,4.217,3.704,3.798,experiment,related,95,Nat,5.141,11,119,het hout,0.094,0.924,0.419,,3
,de pan,nonNat_108_related,0,4.262,3.79,4.004,experiment,related,108,nonNat,6.174,21,219,het vuur,0.214,1.912,0.258,,4
,,Nat_300_control,0,1.205,0.66,0.783,experiment,control,300,Nat,2.657,55,155,,0.123,1.452,0.422,,5
Heeft deze zin iets te maken met hengelsport?,het net,Nat_89_unrelated,1,3.607,2.987,3.134,experiment,unrelated,89,Nat,4.8,12,129,de sloot,0.147,1.193,0.473,0.0,6
,,Nat_326_control,0,1.987,1.606,1.684,experiment,control,326,Nat,7.568,55,155,,0.078,5.581,0.303,,7
Laat de juwelier de sieraden 's nachts in de etalage liggen?,de kluis,nonNat_44_related,1,3.397,2.858,3.034,experiment,related,44,nonNat,4.288,21,219,het doosje,0.176,0.891,0.363,1.0,8
,,nonNat_355_control,0,2.699,2.227,2.444,experiment,control,355,nonNat,4.376,55,155,,0.217,1.677,0.255,,9
,,Nat_309_control,0,4.494,3.941,4.075,experiment,control,309,Nat,5.998,55,155,,0.134,1.504,0.419,,10
Gaat de spreker in de zomer graag zwemmen?,het zwembad,Nat_6_unrelated,1,3.836,3.175,3.304,experiment,unrelated,6,Nat,4.824,12,129,de badkuip,0.129,0.988,0.532,1.0,11
,de wolf,nonNat_79_unrelated,0,4.894,4.508,4.711,experiment,unrelated,79,nonNat,5.387,22,229,het dier,0.203,0.493,0.183,,12
,,nonNat_342_control,0,7.471,7.038,7.297,experiment,control,342,nonNat,8.19,55,155,,0.259,0.719,0.174,,13
,,nonNat_335_control,0,3.544,2.192,2.734,experiment,control,335,nonNat,8.077,55,155,,0.542,4.533,0.81,,14
,de schat,nonNat_5_related,0,3.761,3.316,3.412,experiment,related,5,nonNat,4.7,21,219,het pakketje,0.096,0.939,0.349,,15
Had Hendrik een bioscoopbon gekregen voor zijn verjaardag?,de bioscoop,nonNat_114_unrelated,1,6.589,5.896,6.004,experiment,unrelated,114,nonNat,7.356,22,229,het filmhuis,0.108,0.767,0.585,0.0,16
,het lijf,nonNat_101_related,0,3.145,2.618,2.72,experiment,related,101,nonNat,4.38,21,219,de maag,0.102,1.235,0.425,,17
,de oven,nonNat_8_related,0,3.402,2.846,2.986,experiment,related,8,nonNat,4.638,21,219,het fornuis,0.14,1.236,0.416,,18
,,nonNat_333_control,0,2.984,2.326,2.417,experiment,control,333,nonNat,4.705,55,155,,0.091,1.721,0.567,,19
,,nonNat_353_control,0,2.405,1.92,2.031,experiment,control,353,nonNat,4.397,55,155,,0.111,1.992,0.374,,20
